ID,LANGUAGE,ABBREVIATION,GLOTTOCODE,CONCEPT,CONCEPT_ID,FORMS,COGNATE_SET,SOURCE,PAGE,COMMENTS,,
TP62,Salamay,Sa,sala1273,BIG,1202,póój,BIG-2,galucio-etal-2015,251,,,
TP63,Suruí,Su,suru1262,BIG,1202,póój,BIG-2,galucio-etal-2015,251,,,
TP64,Tapirapé,Ta, tapi1254,BIG,1202,oweteo,BIG-4,galucio-etal-2015,251,,,
TP65,Tuparí,Tu, tupa1250,BIG,1202,e?aat,BIG-9,galucio-etal-2015,251,,,
TP66,Urubú-Ka’apór,Uk,urub1250,BIG,1202,tiha,BIG-3,galucio-etal-2015,251,,,
TP67,Wayoró,Wa,wayo1238,BIG,1202,aka?a,BIG-8,galucio-etal-2015,251,,,
TP68,Xipáya,Xi,xipa1240,BIG,1202,u?ahu,BIG-1 ,galucio-etal-2015,251,,,
TP69,Zoró,Zo,zoro1244,BIG,1202,póòj,BIG-2,galucio-etal-2015,251,,,
TP70,Akuntsú,Ak,akun1241,WOMAN,962,a?ami?a,WOMAN-2,galucio-etal-2015,251,,,
TP71,Aruá,Ar,arua1261,WOMAN,962,ßã?et,WOMAN-3,galucio-etal-2015,251,,,
TP72,Awetí,Aw,awet1244,WOMAN,962,kujã,WOMAN-1,galucio-etal-2015,251,,,
TP73,Gavião,Gv,gavi1247,WOMAN,962,ßã?et,WOMAN-3,galucio-etal-2015,251,,,
TP74,Jurúna,Ju,juru1256,WOMAN,962,ií?a,WOMAN-1,galucio-etal-2015,251,,,
TP75,Káro,Ka,karo1297,WOMAN,962,ma?p?j,WOMAN-8,galucio-etal-2015,251,,,
TP76,Karitiána,Kt,kari1311,WOMAN,962,ej pat,WOMAN-9,galucio-etal-2015,251,,,
TP77,Kuruáya,Ku,kuru1309,WOMAN,962,ao,WOMAN-7,galucio-etal-2015,251,,,
TP78,Makuráp,Ma,maku1278,WOMAN,962,a?ãp?jã,WOMAN-2,galucio-etal-2015,251,,,
TP79,Mekéns,Me,saki1248,WOMAN,962,a?ami?a,WOMAN-2,galucio-etal-2015,251,,,
TP80,Mundurukú,Mu,mund1330,WOMAN,962,ajá?át,WOMAN-6,galucio-etal-2015,251,,,
TP81,Mawé,Mw,sate1243,WOMAN,962,ha??po?ia,WOMAN-5,galucio-etal-2015,251,,,
TP82,Paraguayan Guaraní,Pg,para1311,WOMAN,962,ku?a,WOMAN-1,galucio-etal-2015,251,,,
TP83,Parintintín,Pt,pari1258,WOMAN,962,ku?a,WOMAN-1,galucio-etal-2015,251,,,
TP84,Puruborá,Pu,puru1264,WOMAN,962,pakoja,WOMAN-1,galucio-etal-2015,251,,,
TP85,Salamay,Sa,sala1273,WOMAN,962,ßãzet,WOMAN-3,galucio-etal-2015,251,,,
TP86,Suruí,Su,suru1262,WOMAN,962,ßá?et,WOMAN-3,galucio-etal-2015,251,,,
TP87,Tapirapé,Ta, tapi1254,WOMAN,962,kot??,WOMAN-1,galucio-etal-2015,251,,,
TP88,Tuparí,Tu, tupa1250,WOMAN,962,a?ami?ã,WOMAN-2,galucio-etal-2015,251,,,
TP89,Urubú-Ka’apór,Uk,urub1250,WOMAN,962,k?jã,WOMAN-1,galucio-etal-2015,251,,,
TP90,Wayoró,Wa,wayo1238,WOMAN,962,ã?ãm??ã,WOMAN-2,galucio-etal-2015,251,,,
TP91,Xipáya,Xi,xipa1240,WOMAN,962,si?a,WOMAN-4,galucio-etal-2015,251,,,
TP92,Zoró,Zo,zoro1244,WOMAN,962,ßãzet,WOMAN-3,galucio-etal-2015,251,,,
TP93,Akuntsú,Ak,akun1241,FISH,227,kojtpit,FISH-2,galucio-etal-2015,251,,,
TP94,Aruá,Ar,arua1261,FISH,227,boli?p,FISH-1,galucio-etal-2015,251,,,
TP95,Awetí,Aw,awet1244,FISH,227,pi?a??t,FISH-2,galucio-etal-2015,251,,,
TP96,Gavião,Gv,gavi1247,FISH,227,boli?p,FISH-1,galucio-etal-2015,251,,,
TP97,Jurúna,Ju,juru1256,FISH,227,pi?a,FISH-2,galucio-etal-2015,251,,,
TP98,Káro,Ka,karo1297,FISH,227,ip,FISH-1,galucio-etal-2015,251,,,
TP99,Karitiána,Kt,kari1311,FISH,227,?ip,FISH-1,galucio-etal-2015,251,,,
TP100,Kuruáya,Ku,kuru1309,FISH,227,potip,FISH-1,galucio-etal-2015,251,,,
TP101,Makuráp,Ma,maku1278,FISH,227,potkap,FISH-1,galucio-etal-2015,251,,,
TP102,Mekéns,Me,saki1248,FISH,227,k?jpit,FISH-2,galucio-etal-2015,251,,,
TP103,Mundurukú,Mu,mund1330,FISH,227,a?imá,FISH-3,galucio-etal-2015,251,,,
TP104,Mawé,Mw,sate1243,FISH,227,pi(i)?a,FISH-2,galucio-etal-2015,251,labeled incorrectly as Ma in data,,
TP105,Paraguayan Guaraní,Pg,para1311,FISH,227,pi?a,FISH-2,galucio-etal-2015,251,,,
TP106,Parintintín,Pt,pari1258,FISH,227,pi?a,FISH-2,galucio-etal-2015,251,labeled incorrectly as Pa in data,,
TP107,Puruborá,Pu,puru1264,FISH,227,??p?aj,FISH-1,galucio-etal-2015,251,,,
TP108,Salamay,Sa,sala1273,FISH,227,bolíp,FISH-1,galucio-etal-2015,251,,,
TP109,Suruí,Su,suru1262,FISH,227,mo?íp,FISH-1,galucio-etal-2015,251,mo?i?w-aa,,
TP110,Tapirapé,Ta, tapi1254,FISH,227,hipi?ã,FISH-2,galucio-etal-2015,251,,,
TP111,Tuparí,Tu, tupa1250,FISH,227,ipot,FISH-1,galucio-etal-2015,251,,,
TP112,Urubú-Ka’apór,Uk,urub1250,FISH,227,pi?a,FISH-2,galucio-etal-2015,251,,,
TP113,Wayoró,Wa,wayo1238,FISH,227,ißojt,FISH-1,galucio-etal-2015,251,,,
TP114,Xipáya,Xi,xipa1240,FISH,227,?ita,FISH-2,galucio-etal-2015,251,,,
TP115,Zoró,Zo,zoro1244,FISH,227,bolíp,FISH-1,galucio-etal-2015,251,,,
,,,,,,,,,,,,
